alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
1.0,0.05,36,94.14085865020752,1,0.0003503967608374131,0.005251863683824469,134.36066460609436,3,0.000335624272490346,0.005066130644075525
1.0,0.05,37,101.023690700531,1,6.747279032000716e-06,0.0009751264932386556,142.12090373039246,3,5.0848500432337484e-06,0.0009715866395429495
1.0,0.05,99,101.01445198059082,1,1.089417728325342e-05,0.0010262724375793898,121.21592450141907,2,1.2048582854532427e-05,0.0010359616196406504
1.0,0.05,38,99.82099390029907,1,4.917535564756638e-05,0.0011380211380482544,121.36424255371094,2,5.128543245601372e-05,0.001154750224290954
1.0,0.05,100,101.34432458877563,1,8.652485412998014e-05,0.00214466248865076,132.0236473083496,3,9.279267669045399e-05,0.002223371182092163
1.0,0.05,39,97.78162002563477,1,0.00033609708438378527,0.0054781820753693165,120.89098405838013,2,0.00033195523601598886,0.005425527400447153
1.0,0.05,101,106.04300236701965,1,9.339570767226613e-06,0.0006530618207737768,137.4465034008026,3,7.319454963077288e-06,0.0006302460522640531
1.0,0.05,40,103.33780479431152,1,2.8167614081509254e-07,0.0009401761596702141,118.52534198760986,2,4.509516431543972e-07,0.0009440812563007816
1.0,0.05,102,101.550053358078,1,2.768417586773587e-05,0.0014520964090873154,119.41107034683228,2,2.9638317538534322e-05,0.001477648978099327
1.0,0.05,41,100.10537457466125,1,4.1817490185500205e-05,0.0012763681098392475,113.32482814788818,2,3.979305469231589e-05,0.0012602571967643389
1.0,0.05,103,98.16954922676086,1,9.757719494255868e-05,0.0016463115261448364,121.07352328300476,2,9.436466731437171e-05,0.0016160349993307364
1.0,0.05,42,101.49045872688293,1,9.684745377894979e-05,0.002615705182559804,123.71235847473145,2,9.366839693278659e-05,0.0025696246859127966
1.0,0.05,104,103.50735116004944,1,1.2199651725634578e-05,0.001279440447611286,118.1688461303711,2,1.4126542821369346e-05,0.0013129038793003233
1.0,0.05,43,97.22986960411072,1,0.0002858087191888761,0.004577018189700028,136.84515118598938,3,0.00027496008568113177,0.004440114597617831
1.0,0.05,105,101.6978611946106,1,0.00012735931010055427,0.0025859073005039313,136.9605474472046,3,0.00013426474138909396,0.0026610353690868244
1.0,0.05,44,101.10038900375366,1,4.982481292353319e-05,0.0016001967584237061,119.92425751686096,2,5.3494636170322015e-05,0.001644453547590801
1.0,0.05,106,101.85369038581848,1,2.1997752686396398e-05,0.0010110673011259235,123.44750618934631,2,2.1027076556398428e-05,0.0010021539530979348
1.0,0.05,45,106.91648316383362,1,5.8726905201526294e-06,0.0011096265629232395,136.93742036819458,3,4.540349144241488e-06,0.0010854078371315215
1.0,0.05,107,99.20334148406982,1,3.344275453986761e-05,0.0014995138129278113,118.13829183578491,2,3.463192746525377e-05,0.0015126007445138135
1.0,0.05,46,94.60070562362671,1,0.00016444731909520126,0.0034610552242699743,119.3151626586914,2,0.00016995991562590899,0.0035264726353288205
1.0,0.05,108,101.82342290878296,1,6.872513523479956e-05,0.001689500910710689,120.81944155693054,2,6.632781676882978e-05,0.0016613340760367936
1.0,0.05,47,103.8530011177063,1,1.9663484692818084e-06,0.0015397227109218775,120.99205756187439,2,2.083329552078756e-06,0.0015401644540462545
1.0,0.05,109,101.98191332817078,1,8.782018842743799e-06,0.0012677770667119043,125.34918713569641,2,7.344966255019334e-06,0.001252730702195435
1.0,0.05,162,106.73010635375977,1,0.0003586566970982765,0.006397944474008019,118.60050225257874,2,0.000352590961381686,0.006314096726504863
1.0,0.05,48,106.3832139968872,1,8.982446889218074e-06,0.0010348440774835335,117.8662462234497,2,9.52068675685619e-06,0.0010431417948151666
1.0,0.05,110,98.06331086158752,1,4.341238089788724e-05,0.0012387179560281588,123.80769610404968,2,4.08110822231487e-05,0.0012094147846753635
1.0,0.05,163,106.31778717041016,1,0.00010814754869265062,0.002582850525376256,117.07423162460327,2,0.00011036646282136474,0.0026123305063984925
1.0,0.05,49,105.76156854629517,1,6.147117793365423e-05,0.0024129153607302654,139.3637135028839,3,6.641692241988082e-05,0.0024889410457776253
1.0,0.05,111,102.46935772895813,1,4.0876967371265715e-06,0.000818941656520944,118.05348515510559,2,3.894698661730205e-06,0.0008182651201291957
1.0,0.05,164,98.54768919944763,1,0.00010131029017950207,0.00187329913371676,124.45717692375183,2,9.638442321226575e-05,0.001818783692499136
1.0,0.05,50,100.86169075965881,1,5.742886342521979e-05,0.0016333527299691947,122.77570581436157,2,5.857926949756646e-05,0.0016453480688900614
1.0,0.05,112,106.93374967575073,1,3.2231168666202e-05,0.0016533798531476035,136.2833068370819,3,2.825796915294311e-05,0.0016025139343721945
1.0,0.05,165,97.00850033760071,1,0.00039973655359587686,0.005526052200998063,124.45132255554199,2,0.00040397199159968825,0.005571975151846902
1.0,0.05,51,98.42746210098267,1,0.0004174594426004237,0.005454728415235992,118.10315942764282,2,0.0004208490201862516,0.005495047533273749
1.0,0.05,113,99.67090225219727,1,3.584170685299203e-05,0.0013520168154549613,143.14269590377808,3,4.004031711228337e-05,0.0014088250722655868
1.0,0.05,166,102.98289704322815,1,0.00019685738492116432,0.0027188850276013633,138.21058225631714,3,0.00021290209566917107,0.002879006016772623
1.0,0.05,52,104.09623289108276,1,2.482461726188014e-05,0.0014817262205668686,137.57603454589844,3,2.166991593022899e-05,0.0014529038365598793
1.0,0.05,114,99.68250441551208,1,1.8497277273909937e-05,0.0011591514180288502,139.9475507736206,3,1.3362564545173921e-05,0.0010941423510954255
1.0,0.05,167,101.13537311553955,1,0.00033603218521961823,0.004619835242653042,127.11764001846313,2,0.00034515416693847153,0.0047222678838952795
1.0,0.05,53,97.08289885520935,1,4.310116099259082e-06,0.0014672774523948663,141.615003824234,3,2.2633905661699327e-06,0.0014261256830845287
1.0,0.05,115,100.73407888412476,1,6.381183667935396e-05,0.0015944316925690719,142.71483039855957,3,6.978293464947173e-05,0.0016487350257503148
1.0,0.05,168,95.21156930923462,1,7.917190304907611e-07,0.0009276267395112801,126.85266375541687,2,6.28624227505009e-07,0.0009162175812554733
1.0,0.05,225,102.0321192741394,1,0.00012688109404350553,0.002377672413682499,123.83354020118713,2,0.00012189464466597942,0.002320545987755527
1.0,0.05,54,102.325031042099,1,0.0005078294930710411,0.007293786285840926,138.2386908531189,3,0.0004781055534988663,0.006934185723105152
1.0,0.05,116,97.79992985725403,1,9.527687600921368e-06,0.0011636918034242886,146.3871545791626,3,1.2355641865236969e-05,0.0012107567577411766
