,seed,n,alpha,M,K,init_beta,init_sigma,os_beta,os_sigma,ts_beta,ts_sigma,ms_beta,ms_sigma,oracle_beta,oracle_sigma
0,0,1000,0.25,72,2,0.0170256551832561,0.4318019512447369,0.0136642151725371,0.230435315450986,0.0072239255753566,0.230435315450986,0.0073957725842417,0.230435315450986,0.007358018990585,0.1553296269846588
0,0,1000,0.5,72,2,0.0077110254587586,0.2685158468594331,0.0087459751141623,0.1386179589947253,0.0066400403256649,0.1386179589947253,0.0066899557774317,0.1386179589947253,0.0064969410898026,0.1134738830651532
250,0,1000,0.75,72,2,0.005134974149759,0.1898899035064412,0.0052829535125096,0.0934617310641761,0.0050713837911322,0.0934617310641761,0.0050726410682782,0.0934617310641761,0.0046667192641753,0.0853170971878893
500,0,1000,1.0,72,2,0.004057398134017,0.182897619295013,0.0043477295739297,0.0852508626302358,0.0038093298632843,0.0852508626302358,0.0038133903645136,0.0852508626302358,0.0036484436750733,0.0587381230401013
500,0,2500,0.25,159,2,0.0036106778924391,0.2179851862576489,0.0041904720125837,0.1118738859670733,0.0030076545827333,0.1118738859670733,0.0030245298896699,0.1118738859670733,0.0028744954668274,0.0988462338261087
1000,0,2500,0.5,159,2,0.0032446597837445,0.1540553341159751,0.0035254927545449,0.0860988491960666,0.0032122299863656,0.0860988491960666,0.0032143772535789,0.0860988491960666,0.0031994285506233,0.0814403379052162
750,0,2500,0.75,159,2,0.0024148654227731,0.1192621021069986,0.0022525053906466,0.0590443193229495,0.0020464904395344,0.0590443193229495,0.0020479175844675,0.0590443193229495,0.002140496072807,0.0598181958196892
1500,0,2500,1.0,159,2,0.0024052890189916,0.109480379494507,0.0024953647463413,0.059425404395316,0.0024656563846132,0.059425404395316,0.0024661377309671,0.059425404395316,0.0024273208213194,0.0551718935234843
1000,0,5000,0.25,293,2,0.0022417858712989,0.1572307751324364,0.001775776453774,0.0797877394308492,0.001323625029972,0.0797877394308492,0.0013256778768153,0.0797877394308492,0.0013284164646861,0.066506174695617
2000,0,5000,0.5,293,2,0.0017021712198115,0.0996749342632524,0.0008673765934222,0.047531545910648,0.0007839262882181,0.047531545910648,0.000783849086268,0.047531545910648,0.0007925956600802,0.0457492471220851
1250,0,5000,0.75,293,2,0.0009045434575052,0.0851378056496744,0.0011761957581075,0.0444774859160284,0.0010349010948523,0.0444774859160284,0.0010351142353021,0.0444774859160284,0.0010832835138529,0.0424740298117613
2500,0,5000,1.0,293,2,0.0022408028501581,0.0664894862134198,0.0018277947936171,0.0351323807846721,0.0019483025436419,0.0351323807846721,0.0019481847890878,0.0351323807846721,0.0018624323603088,0.0347211100342458
1,1,1000,0.25,72,2,0.0090205177739682,0.4637822680505896,0.0095353826294887,0.2707427741255209,0.0066615015986893,0.2707427741255209,0.006324050401391,0.2707427741255209,0.0074254455890062,0.1485078365734716
1,1,1000,0.5,72,2,0.0053259301758483,0.2540877868096238,0.0073775041244516,0.1191790237227714,0.0058896434820505,0.1191790237227714,0.0059547721908315,0.1191790237227714,0.0057874270969166,0.1103385817306396
251,1,1000,0.75,72,2,0.0084457637578936,0.1878895843262851,0.0058373998773342,0.095033881112375,0.0064594075677566,0.095033881112375,0.0064526768254304,0.095033881112375,0.006401598869097,0.0854076180001893
501,1,1000,1.0,72,2,0.005187426767345,0.1753739789029003,0.0039625219405753,0.0827552888911438,0.0039519840835706,0.0827552888911438,0.0039503691501544,0.0827552888911438,0.004036884370269,0.0654881290102778
501,1,2500,0.25,159,2,0.005859462652813,0.2397086914653522,0.004149138023606,0.1206210168920379,0.0045802822483904,0.1206210168920379,0.004554860351742,0.1206210168920379,0.0045712288895313,0.0999999220708659
1001,1,2500,0.5,159,2,0.0022146368831146,0.144760906377143,0.0021074610331208,0.0832033566164256,0.0020153634277182,0.0832033566164256,0.0020167276017971,0.0832033566164256,0.0019961392042654,0.0804401927460547
751,1,2500,0.75,159,2,0.0029770918801832,0.1066370946503455,0.0023232704206441,0.0595015158185251,0.0024371566019816,0.0595015158185251,0.0024362009136953,0.0595015158185251,0.0025206694289051,0.0590863860337012
1501,1,2500,1.0,159,2,0.0021869436177044,0.0868556970176453,0.0017153652955817,0.0476276962810605,0.0016784716425572,0.0476276962810605,0.0016785022202198,0.0476276962810605,0.0016770318182465,0.0458308256067306
1001,1,5000,0.25,293,2,0.0018104173571084,0.1386156664600134,0.0016657490266216,0.074792001702794,0.0014658781649874,0.074792001702794,0.0014683223475366,0.074792001702794,0.0013755421729339,0.0716797735594245
2001,1,5000,0.5,293,2,0.0030576986573911,0.096987605453183,0.0019422368940853,0.0543650644536652,0.001946525732602,0.0543650644536652,0.0019463584798663,0.0543650644536652,0.0019796820274234,0.0527427851139006
1251,1,5000,0.75,293,2,0.0021851399286359,0.066332794662219,0.0015411039425088,0.0426615637332368,0.0015988048382419,0.0426615637332368,0.0015986898415562,0.0426615637332368,0.0015783034652462,0.0425143647788472
2501,1,5000,1.0,293,2,0.0013994875853029,0.0526150712137255,0.0008788045492158,0.0351968743621064,0.0008344474914303,0.0351968743621064,0.0008344435214735,0.0351968743621064,0.000820358524926,0.0352627762601642
2,2,1000,0.25,72,2,0.0152469736154878,0.469316392396807,0.0103709364759022,0.2706833390144453,0.010826966219436,0.2706833390144453,0.0101228204182478,0.2706833390144453,0.010264587542027,0.1322933252056972
2,2,1000,0.5,72,2,0.0126874840714119,0.2889062685147818,0.0084596322227076,0.1531763955409661,0.0068810315994356,0.1531763955409661,0.0069147300112984,0.1531763955409661,0.0069088279223325,0.1242042963553741
252,2,1000,0.75,72,2,0.0069866232958704,0.2249795839939978,0.0048028023167022,0.1128390531645743,0.0047286799949101,0.1128390531645743,0.004730960571001,0.1128390531645743,0.0045253995327895,0.1047566829456858
502,2,1000,1.0,72,2,0.0043680185052055,0.1696171573892816,0.0031507144837655,0.0854951895435734,0.0032340752564206,0.0854951895435734,0.0032307606605823,0.0854951895435734,0.0031389589792056,0.0823483671336244
502,2,2500,0.25,159,2,0.0045315714197692,0.2235323569566906,0.0037425329764739,0.1215611350544789,0.0036791517020797,0.1215611350544789,0.0036759574379777,0.1215611350544789,0.0035530735359029,0.104375278325909
1002,2,2500,0.5,159,2,0.0024958281761959,0.1252584076428008,0.0019197803530593,0.0670983992732884,0.0018822403304905,0.0670983992732884,0.0018827569771465,0.0670983992732884,0.0018210832865702,0.0674264714048633
752,2,2500,0.75,159,2,0.0033376017378853,0.0883436854275156,0.002323082030843,0.0537995524769649,0.0022919196916446,0.0537995524769649,0.0022922755813992,0.0537995524769649,0.0022913883510531,0.0562983049091163
1502,2,2500,1.0,159,2,0.0019836827450943,0.090291453589972,0.0011672112476693,0.0527700798227851,0.0011481629708148,0.0527700798227851,0.0011481999454045,0.0527700798227851,0.0012372825549548,0.0506663826255139
1002,2,5000,0.25,293,2,0.0033943568518024,0.1258820916354177,0.0028327415074265,0.0666361295785676,0.0028728766374263,0.0666361295785676,0.002872588172659,0.0666361295785676,0.0028660096348889,0.069075791755554
2002,2,5000,0.5,293,2,0.0012785714798079,0.0816056236004262,0.0012852067431072,0.0462737805607899,0.0012143649320386,0.0462737805607899,0.0012144604432889,0.0462737805607899,0.0013233208266491,0.0451511150070413
1252,2,5000,0.75,293,2,0.0014454056576923,0.0657851565197644,0.0008568990627096,0.0428955415327114,0.0008703473362032,0.0428955415327114,0.0008703147215924,0.0428955415327114,0.0008352300355273,0.0425076519083161
2502,2,5000,1.0,293,2,0.0022088077494721,0.0476372744790307,0.0010382334026308,0.0346708643009174,0.0010916033755974,0.0346708643009174,0.0010916303762404,0.0346708643009174,0.0010226829547136,0.0341755510893033
3,3,1000,0.25,72,2,0.0077502473472473,0.4671826397125926,0.0272824179424494,0.2742129588608512,0.011244088949511,0.2742129588608512,0.0128703307095933,0.2742129588608512,0.0104547365409194,0.1640483869502367
3,3,1000,0.5,72,2,0.0059356311577902,0.3058303003624721,0.0096199591312031,0.1718902747432235,0.0069737142463697,0.1718902747432235,0.0070876822541901,0.1718902747432235,0.0065588252283364,0.1213657990352354
253,3,1000,0.75,72,2,0.0080087515862475,0.1713530486730757,0.0030646727958425,0.0936317262343064,0.0029430237732122,0.0936317262343064,0.0029405399068273,0.0936317262343064,0.0029472186422695,0.0897434952349495
503,3,1000,1.0,72,2,0.0044538293491021,0.1781699612564401,0.003714802755779,0.1028314994425477,0.0038371628596083,0.1028314994425477,0.0038359801714289,0.1028314994425477,0.0036677020344984,0.0876320174045231
503,3,2500,0.25,159,2,0.0045662332968465,0.2428639681143408,0.0075139000369892,0.1254230642155352,0.0062107104063686,0.1254230642155352,0.0062413194582663,0.1254230642155352,0.0059542814510631,0.1032872815782585
