,K,n,alpha,M,seed,OMR,CMR(0.1),CMR(0.05),CMR(0.01),ELC(0.1),ELC(0.05),ELC(0.01)
0,1,1000,0.25,72.0,499.5,0.7638,0.10493883128186995,0.051173794986316745,0.010025578481729509,2.32835,2.98265,4.237500000000001
1,1,1000,0.5,72.0,499.5,0.5410499999999999,0.06799711076805585,0.029846498142698408,0.0045388745666297995,1.6833999999999998,2.16755,3.0719999999999996
2,1,1000,0.75,72.0,499.5,0.4365,0.05673356561545013,0.024737601270191405,0.00348779898446683,1.3904,1.7891000000000001,2.5315999999999996
3,1,1000,1.0,72.0,499.5,0.37735,0.046456698413888296,0.020773215365620358,0.0034278055225634404,1.2033500000000001,1.5481500000000001,2.19465
4,1,2500,0.25,159.0,499.5,0.32638,0.04071818746865279,0.01805760814425228,0.00281239986779379,1.02644,1.3157800000000002,1.8613000000000002
5,1,2500,0.5,159.0,499.5,0.23088000000000003,0.028125392973081472,0.01225452636113223,0.0019459229279288196,0.7308399999999999,0.9383200000000002,1.32904
6,1,2500,0.75,159.0,499.5,0.18796,0.022938714159196332,0.01052204207874862,0.00179991682606459,0.60104,0.7726000000000001,1.0899800000000002
7,1,2500,1.0,159.0,499.5,0.1661,0.020265780221792158,0.00940269417631894,0.0015949999275367802,0.5206,0.665,0.9430999999999998
8,1,5000,0.25,293.0,499.5,0.16979999999999998,0.02101209809934143,0.00999848207212372,0.00167609053665682,0.53735,0.68889,0.97525
9,1,5000,0.5,293.0,499.5,0.12014,0.01506809023731347,0.0063011380405094694,0.0009768974444893002,0.38497,0.49504,0.69509
10,1,5000,0.75,293.0,499.5,0.09871999999999999,0.01200767808014472,0.00536168383416189,0.00094540657647668,0.31422,0.40402,0.5685100000000001
11,1,5000,1.0,293.0,499.5,0.08636,0.0100977168552666,0.00455581556790829,0.00078375039683549,0.27369,0.34954999999999997,0.49179
12,2,1000,0.25,72.0,499.5,1.6510999999999998,0.25228097668809735,9.4101,0.1230391148434298,11.98165,0.02494412201669531,16.642699999999998
13,2,1000,0.5,72.0,499.5,1.14145,0.15083795669842456,7.080150000000001,0.06824422481157541,9.029000000000002,0.013573257028957621,12.59355
14,2,1000,0.75,72.0,499.5,0.94375,0.12383909754225704,5.8427999999999995,0.0564781672734538,7.485850000000001,0.00916372144838365,10.473
15,2,1000,1.0,72.0,499.5,0.8033,0.10005834470779497,5.1044,0.04316488095594623,6.5169500000000005,0.00809180415303318,9.13315
16,2,2500,0.25,159.0,499.5,0.6858,0.08570886094429578,4.28434,0.038945537508834484,5.46576,0.00686695298038284,7.675560000000001
17,2,2500,0.5,159.0,499.5,0.47994000000000003,0.05668079067232063,3.06938,0.025148176087474126,3.9272,0.004316321303090211,5.51884
18,2,2500,0.75,159.0,499.5,0.3902,0.04724764617038329,2.50988,0.02157661375504666,3.21324,0.00326827535198001,4.5283999999999995
19,2,2500,1.0,159.0,499.5,0.33724,0.04027407179907802,2.17444,0.017752326993650442,2.78386,0.0029354488694751,3.93118
20,2,5000,0.25,293.0,499.5,0.35133,0.04105472336346342,2.25154,0.0180405992824535,2.88371,0.00293901383236822,4.06427
21,2,5000,0.5,293.0,499.5,0.25126,0.030630585790886792,1.59966,0.01399792555605979,2.0511399999999997,0.00207047537315078,2.8952999999999998
22,2,5000,0.75,293.0,499.5,0.20253999999999997,0.024226663363924008,1.31021,0.01099390434566845,1.6759899999999999,0.0018947995591250201,2.3702199999999998
23,2,5000,1.0,293.0,499.5,0.17577,0.020877948319722967,1.13717,0.00934622183140756,1.45517,0.00128609906275509,2.0566999999999998
